EmployeeID,EmployeeName,Gender,Age,Department,JobRole,Education,HireDate,WeekStartDate,WeekEndDate,AttendanceDays,WorkingHours,PerformanceScore,OvertimeHours,LeaveDays,Attrition,Salary,ManagerRating,PromotionEligible,Location
E1000,Employee_1,Female,28,Admin,Office Assistant,Diploma,2020-05-20,2025-09-15,2025-09-21,4,31,5,8,0,No,34863,4,Yes,Delhi
E1001,Employee_2,Female,38,IT,Software Engineer,Diploma,2021-04-11,2025-09-15,2025-09-21,3,38,5,4,0,Yes,68670,2,No,Chennai
E1002,Employee_3,Male,38,Sales,Sales Executive,Post-Graduate,2018-09-22,2025-09-15,2025-09-21,5,46,3,10,1,Yes,48716,1,Yes,Indore
E1003,Employee_4,Female,40,Finance,Finance Analyst,Diploma,2019-05-20,2025-09-15,2025-09-21,5,37,4,3,0,No,65074,3,Yes,Indore
E1004,Employee_5,Male,24,HR,HR Manager,Post-Graduate,2018-09-17,2025-09-15,2025-09-21,6,34,4,9,1,No,58122,5,No,Chennai
E1005,Employee_6,Male,35,Admin,Office Assistant,Post-Graduate,2020-06-05,2025-09-15,2025-09-21,4,51,5,3,1,Yes,52776,4,Yes,Hyderabad
E1006,Employee_7,Male,29,Operations,Supervisor,Diploma,2021-03-26,2025-09-15,2025-09-21,5,50,1,6,1,No,30446,1,No,Pune
E1007,Employee_8,Male,47,HR,HR Executive,Post-Graduate,2019-03-16,2025-09-15,2025-09-21,4,45,3,2,1,Yes,81481,4,Yes,Indore
E1008,Employee_9,Female,37,Admin,Admin Executive,MBA,2023-01-14,2025-09-15,2025-09-21,3,50,5,3,2,Yes,49199,1,No,Mumbai
E1009,Employee_10,Male,36,Marketing,Brand Executive,Diploma,2019-06-05,2025-09-15,2025-09-21,4,30,2,5,1,No,53345,3,Yes,Delhi
E1010,Employee_11,Male,27,Marketing,Marketing Analyst,MBA,2022-01-21,2025-09-15,2025-09-21,5,38,1,7,2,Yes,84305,5,No,Bangalore
E1011,Employee_12,Male,38,IT,Support Engineer,MBA,2023-06-13,2025-09-15,2025-09-21,6,38,3,9,2,Yes,35878,3,Yes,Hyderabad
E1012,Employee_13,Male,22,Finance,Accountant,Post-Graduate,2024-08-03,2025-09-15,2025-09-21,5,50,4,0,2,No,64370,1,No,Indore
E1013,Employee_14,Male,29,IT,Data Analyst,Graduate,2021-06-27,2025-09-15,2025-09-21,3,47,4,3,2,Yes,61662,2,Yes,Hyderabad
E1014,Employee_15,Male,44,Marketing,Marketing Analyst,Graduate,2021-11-14,2025-09-15,2025-09-21,6,40,4,4,1,No,68898,5,No,Chennai
E1015,Employee_16,Female,28,IT,Support Engineer,Diploma,2018-09-03,2025-09-15,2025-09-21,4,47,3,7,2,Yes,47752,2,No,Chennai
E1016,Employee_17,Female,33,Finance,Accountant,Diploma,2018-03-09,2025-09-15,2025-09-21,6,53,1,3,2,Yes,33614,4,Yes,Hyderabad
E1017,Employee_18,Female,30,IT,Support Engineer,Post-Graduate,2019-03-24,2025-09-15,2025-09-21,5,55,1,2,0,No,85395,4,No,Indore
E1018,Employee_19,Female,48,IT,Data Analyst,Diploma,2019-02-07,2025-09-15,2025-09-21,3,36,5,5,0,No,32999,2,Yes,Hyderabad
E1019,Employee_20,Male,42,IT,Support Engineer,Post-Graduate,2021-11-26,2025-09-15,2025-09-21,6,48,3,4,0,Yes,39791,3,No,Hyderabad
E1020,Employee_21,Female,25,Operations,Operations Executive,Graduate,2018-11-05,2025-09-15,2025-09-21,6,50,5,10,1,Yes,47034,1,No,Indore
E1021,Employee_22,Male,33,Operations,Operations Executive,Diploma,2019-07-09,2025-09-15,2025-09-21,5,44,2,9,1,No,71833,2,Yes,Mumbai
E1022,Employee_23,Female,42,HR,HR Executive,Graduate,2022-09-06,2025-09-15,2025-09-21,3,33,2,8,0,No,36393,1,No,Hyderabad
E1023,Employee_24,Male,23,Finance,Finance Analyst,Post-Graduate,2018-06-25,2025-09-15,2025-09-21,4,45,1,1,0,Yes,71976,5,Yes,Bangalore
E1024,Employee_25,Male,37,HR,HR Executive,Graduate,2019-11-22,2025-09-15,2025-09-21,4,45,2,3,0,No,39287,2,No,Chennai
E1025,Employee_26,Female,27,Marketing,Marketing Analyst,Diploma,2023-10-24,2025-09-15,2025-09-21,6,53,1,2,0,No,61088,3,No,Pune
E1026,Employee_27,Female,34,Finance,Finance Analyst,Graduate,2018-02-07,2025-09-15,2025-09-21,4,45,1,0,1,No,78035,1,No,Hyderabad
E1027,Employee_28,Male,29,Marketing,Marketing Analyst,MBA,2023-01-25,2025-09-15,2025-09-21,6,32,1,1,1,Yes,62915,4,No,Delhi
E1028,Employee_29,Male,29,Sales,Sales Manager,Graduate,2020-09-01,2025-09-15,2025-09-21,5,38,2,0,2,Yes,57511,5,No,Chennai
E1029,Employee_30,Male,25,Sales,Sales Executive,Post-Graduate,2019-04-17,2025-09-15,2025-09-21,3,39,2,1,1,No,33888,2,No,Delhi
E1030,Employee_31,Male,25,Sales,Sales Executive,Graduate,2024-02-09,2025-09-15,2025-09-21,4,33,1,1,1,No,63739,4,No,Hyderabad
E1031,Employee_32,Male,38,Finance,Finance Analyst,Diploma,2018-04-19,2025-09-15,2025-09-21,3,33,5,2,0,No,32506,4,No,Pune
E1032,Employee_33,Male,40,IT,Data Analyst,Graduate,2024-10-07,2025-09-15,2025-09-21,4,34,4,6,0,Yes,72459,4,Yes,Indore
E1033,Employee_34,Male,50,Sales,Sales Manager,Graduate,2019-08-23,2025-09-15,2025-09-21,6,51,4,7,1,Yes,38001,5,Yes,Mumbai
E1034,Employee_35,Male,48,Marketing,Marketing Analyst,Diploma,2019-11-26,2025-09-15,2025-09-21,4,53,4,10,0,No,53952,3,Yes,Indore
E1035,Employee_36,Female,44,Sales,Sales Executive,MBA,2021-06-16,2025-09-15,2025-09-21,6,31,4,6,0,No,37939,5,No,Chennai
